producto;sku;venta_ars;compra_pdf_ars;diferencia_antes_de_gastos_ars;margen_antes_de_gastos_pct;pagina_pdf;estado;mercado_libre
"TOTAL ALICATES COMBINADOS MULTIFUNCIÓN 8 EN 1 THTMF186 8""";521161;11800.0;7565.0;4235.0;35.89;188;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ALICATE PELACABLE THT15851 215MM;341431;7800.0;4986.0;2814.0;36.08;104;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW VÁLVULA DE RETENCIÓN TIPO HORIZONTAL 1"" WVV6851";470759;26000.0;16674.0;9326.0;35.87;92;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL REMACHADORA LI-ION TRTLI2005 20V;486170;12300.0;7880.0;4420.0;35.93;187;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW AMOLADORA 20V 1150W WLAP25292;613798;260000.0;166725.0;93275.0;35.88;43;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
MEDICUBE NUMBUZIN;;36400.0;;;;;Sin costo de compra documentado en este PDF;Comparación individual pendiente
TOTAL CINTA METRICA TMT11206 20METRO;381864;3900.0;2522.0;1378.0;35.33;231;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE 45 PUNTAS DE DESTORNILLADOR WSS8B45;469128;21400.0;13755.0;7645.0;35.72;127;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL PRENSA SARGENTO F THT1320502 50X200;367707;13800.0;8826.0;4974.0;36.04;153;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL PISTOLA DE SILICONA ALUMINIO 12"" THT20112";341486;36900.0;23640.0;13260.0;35.93;152;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL PRESURIZADOR TWPS101 10BAR-10AM;436342;17200.0;11032.0;6168.0;35.86;332;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BOMBA DE AGUA POZO 1HP 750W 80M UTWP57506;381215;517400.0;331814.0;185586.0;35.87;196;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW NIVEL BURBUJA 200CM WSL1G200;462976;37700.0;24179.0;13521.0;35.86;229;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUEGO DE DESTORNILLADOR 55PCS TACSD30556;436717;26000.0;16658.0;9342.0;35.93;110;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW KIT DE HERRAMIENTAS 211PCS WHS3211;542210;1154400.0;740329.0;414071.0;35.87;310;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE CINCELES PARA MADERA WWC2204 4PCS;460675;22100.0;14175.0;7925.0;35.86;127;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW CORTADOR AZULEJOS 1000MM WTR1510;528498;12300.0;7880.0;4420.0;35.93;193;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"VICTORIA&#039;S SECRET LOCAO VICTORIA&#039;S SECRET LOVE SPELL VACATION 236ML";;31200.0;;;;;Sin costo de compra documentado en este PDF;Comparación individual pendiente
TOTAL COMPRESOR DE AIRE 50L TCS1120508;553292;368600.0;236400.0;132200.0;35.87;96;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SET CINCELES PARA MADERA 4PCS THT41K0401;465373;17200.0;11032.0;6168.0;35.86;332;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MEDIDOR LASER THIT015501;397094;31900.0;20488.0;11412.0;35.77;232;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW MARTILLO DE LAPIDACIÓN WHM2310 1000G;528276;11100.0;7086.0;4014.0;36.16;166;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ATORNILLADOR 16.8V TDLI1611 LITHUM BIV;397209;157300.0;100864.0;56436.0;35.88;63;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW CORTASETOS 20V WLYP5181;613842;148200.0;95042.0;53158.0;35.87;208;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL GENERADOR DE ENERGIA GASOLINA TP18001 0.8 KVA;239745;884700.0;567360.0;317340.0;35.87;100;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUEGO DE HERRAMIENTAS AISLADAS THKIST3062 6PCS;527729;31900.0;20488.0;11412.0;35.77;329;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE DESTORNILLADORES DE MATERIAL CV-R WSS1416 16PC;488549;15700.0;10086.0;5614.0;35.76;156;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW KIT LLAVE COMBINADA WDS2208 8PZ;460699;20800.0;13339.0;7461.0;35.87;128;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL HOJA DE SIEDRRA DE CALAR PARA METAL TAC51118B;316835;137600.0;88256.0;49344.0;35.86;261;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL AMOLADORA TG1121256 1010W;338332;118000.0;75648.0;42352.0;35.89;47;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TALADRO DE IMPACTO 42V 99NM UTIDLI429982;576109;270400.0;173410.0;96990.0;35.87;55;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL HIDROLAVADORA TGT11356 1800W 2200PSI;381345;324400.0;208032.0;116368.0;35.87;202;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CHALECO PARA HERRAMIENTAS 42X60X3CM TTVT16025;512350;31200.0;20009.0;11191.0;35.87;238;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW KIT LLAVE COMBINADA WSP5207 7PCS C/TRINQUETE FLEXIBLE;460736;44200.0;28346.0;15854.0;35.87;129;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW BROCA ESCALONADA HSS KIT 3PCS WJD3401;463638;31200.0;20009.0;11191.0;35.87;12;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SIERRA MÁRMOL 1400W UTS3141102;239684;119600.0;76701.0;42899.0;35.87;255;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ATORNILLADOR -TALADRO CON FUNCION DE IMPACTO 20V UTIDLI2;486064;137600.0;88256.0;49344.0;35.86;59;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL COMPRESOR DE AIRE 50L TC255016;230537;371800.0;238439.0;133361.0;35.87;94;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL GATO HIDRÁULICO THT10832 3 TON;441032;13800.0;8826.0;4974.0;36.04;144;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW CAJA DE ALMACENAMIENTO WTB8346;488914;17200.0;11032.0;6168.0;35.86;337;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT ALICATE 3PCS DE ACCIÓN COMPUESTA THT2CK231S;502207;42300.0;27095.0;15205.0;35.95;173;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL LIJADORA DE PARED TDWS10508 850W;531566;182000.0;116703.0;65297.0;35.88;214;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL GUANTE TSP12104-L;437486;18200.0;11672.0;6528.0;35.87;239;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW LLAVE MULTIFUNCIÓN 16 IN 1 WHK4516;543095;8800.0;5674.0;3126.0;35.52;159;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE PUNTOS DE DESTORNILLADOR DE TRINQUETE WSS8B05;542647;19800.0;12671.0;7129.0;36.01;128;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL LLAVE DE TORSIÓN THPTW200N2;437011;8800.0;5674.0;3126.0;35.52;151;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL NIVEL DE BURBUJA MAGNETICO TMT212026 120CM;437264;13800.0;8826.0;4974.0;36.04;233;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MARTILLO DE TRINEO THT750416 10LB 900MM;456210;62900.0;40352.0;22548.0;35.85;115;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW ALICATES FUNCIONALES ERGONÓMICO 3PCS WPS0413;542814;33800.0;21676.0;12124.0;35.87;175;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW CORTADOR AZULEJOS 1200MM WTR3512;528528;12300.0;7880.0;4420.0;35.93;193;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MULTIPROBADOR TMT42002;437431;31900.0;20488.0;11412.0;35.77;233;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL NIVEL LASER TRIPODE DE ALUMINIO 1.2M TLLT01152;415538;137600.0;88256.0;49344.0;35.86;233;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW LLAVE TORX T9-T40 CR-V WHK3281;52023;6500.0;4170.0;2330.0;35.85;132;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL TRINQUETE 20V DE 3/8"" 65NM TDRLI2060151";486774;13800.0;8826.0;4974.0;36.04;154;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE ACCESORIO DE BAÑO WZG1516;469975;68900.0;44188.0;24712.0;35.87;318;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CEPILLADORA ESPESOR DE MADERA 1500W TTKP15001;531573;17200.0;11032.0;6168.0;35.86;326;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUEGO DE BROCHAS PARA PINTURA 3PCS THT8450301;536592;13800.0;8826.0;4974.0;36.04;136;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MARTILLO ROTATIVO 20V TRHLI212282;564830;270400.0;173410.0;96990.0;35.87;275;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TECLE DE CADENA 0.75 TONELADAS 1.5M THSLB0751;487719;181400.0;116302.0;65098.0;35.89;222;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL ATORNILLADOR 3/8"" 20V UTDLI200518-9";486705;130000.0;83370.0;46630.0;35.87;51;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TALADRO 12V TDLI12206 2 VELOCIDADES;380980;71300.0;45704.0;25596.0;35.9;283;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL MOTOSIERRA 20V 8"" UTGSLI20882";164764;46700.0;29944.0;16756.0;35.88;210;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW EXTRACTOR DE INYECTORES DIESEL WGP5D01;614009;31700.0;20343.0;11357.0;35.83;309;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL LLAVE DE IMPACTO 1/2"" CON ENCAJE 1/4 "" 20V 230NM TIWLI20";60790;8800.0;5674.0;3126.0;35.52;69;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CINTA METRICA TMT710506 50METRO;381888;3900.0;2522.0;1378.0;35.33;231;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL BOLSA DE HERRAMIENTAS 16"" THT16163";444149;13800.0;8826.0;4974.0;36.04;140;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT DE MÁQUINA VIBRADORA INALÁMBRICA PARA AZULEJOS TTVLI;553667;17200.0;11032.0;6168.0;35.86;330;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW ESCALERA TELESCÓPICA DE ALUMINIO 6 ESCALONES 150KG WLD5;490047;143000.0;91707.0;51293.0;35.87;162;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JARDIN PISTOLA DE AGUA THZATN1031;417556;23600.0;15139.0;8461.0;35.85;304;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW ESCALERA ALUMINIO 3 ESCALONES 120KG WLD3H03;490009;72800.0;46687.0;26113.0;35.87;164;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MARTILLO PERFORADOR 20V 35MM TDBLI203582;509992;460200.0;295131.0;165069.0;35.87;275;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MARTILLO UTH115362 1500W SDS PLUS;270274;10800.0;6934.0;3866.0;35.8;282;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT DESTORNILLADOR 8 PCS TKSDS0846;144650;16900.0;10840.0;6060.0;35.86;111;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW GATO HIDRÁULICO 32T WHJ1532;470926;59000.0;37824.0;21176.0;35.89;224;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE EXTRACTORES DE EQUILIBRADOR ARMANONICO WGP8K13;542968;14300.0;9172.0;5128.0;35.86;318;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW CAMILLA PARA MECÁNICO 36"" WCCP0365";112963;17200.0;11032.0;6168.0;35.86;337;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ATORNILLADOR 20V UTDLI20012;442817;93400.0;59888.0;33512.0;35.88;65;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL PISTOLA DE PINTURA TAT10601 HVLP;300773;221200.0;141840.0;79360.0;35.88;98;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUEGO CUCHILLO 22PCS THT515226;532389;13800.0;8826.0;4974.0;36.04;144;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT COMBINADO INALÁMBRICO 20V TOSLI240461;512503;319500.0;204880.0;114620.0;35.87;330;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL CAJA DE HERRAMIENTAS DE PLÁSTICO 12"" TPBX1121";486507;27000.0;17336.0;9664.0;35.79;32;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW GENERADOR A GASOLINA 800W WGEAA01;489249;466900.0;299440.0;167460.0;35.87;100;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CUCHILLAS MULTIHERRAMIENTAS 23PCS TAKTMT2301;518703;70200.0;45020.0;25180.0;35.87;18;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SIERRA SABLE UTS100801 800W;239462;127800.0;81952.0;45848.0;35.87;266;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TALADRO DE IMPACTO 55NM 20V TIDLI205581;529105;85800.0;55024.0;30776.0;35.87;56;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL DETECTOR DE VOLTAJE 12V THT210003;527767;13800.0;8826.0;4974.0;36.04;135;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TALADRO DIAMANTE MAGNÉTICO 2800W TDDM28001;415156;118000.0;75648.0;42352.0;35.89;284;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TIJERAS P/PODA THT1527101;437561;27200.0;17424.0;9776.0;35.94;120;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TALADRO DE IMPACTO 42V MOTOR SIN ESCOBILLAS TIDLI429982;564960;270400.0;173410.0;96990.0;35.87;56;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL HIDROLAVADORA 2800W 2600PSI TGT11266;446273;699400.0;448533.0;250867.0;35.87;197;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW MARTILLO DE LAPIDACIÓN WMB2310 1000G;460491;10700.0;6837.0;3863.0;36.1;166;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE DESTORNILLADORES DE IMPACTO WYM1B13 13PCS;489393;31800.0;20425.0;11375.0;35.77;58;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT HERRAMIENTAS THKTHP22166 216PCS;486491;41800.0;26792.0;15008.0;35.9;35;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW PISTOLA DE PINTURA WGA1501 100CC;461900;18800.0;12088.0;6712.0;35.7;96;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL ALICATEDE PUNTA DOBLADA 8"" 200MM THT241808S";612487;11800.0;7565.0;4235.0;35.89;135;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ATORNILLADOR 8V TSDLI0801 LITHIUM 2VOL;397186;157300.0;100864.0;56436.0;35.88;66;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW BOMBA DE AGUA SUMERGIBLE WWPQA01;471190;172000.0;110320.0;61680.0;35.86;204;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SIERRA COPA DIAMANTE PARA HORMIGÓN 82MM TAC2810821;609852;187200.0;120053.0;67147.0;35.87;253;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW ALICATE DE PUNTA LARGA DE ALTO APALANCAMIENTO 8"" WPL271";533348;8400.0;5418.0;2982.0;35.5;179;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW DADO HEXAGONAL 3/4"" 50MM WSC4550";2530;15600.0;10004.0;5596.0;35.87;125;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUEGO DE LLAVES CON TRINQUETE 12PCS THT102RK0126;536646;59000.0;37824.0;21176.0;35.89;146;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW SET DE ENFERDADO MANUAL 16MM WHS2621;538725;70200.0;45020.0;25180.0;35.87;323;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SOLDADOR ELECTRICO CON CONTROL DE TEMPERATURA 90W TET016;22064;19500.0;12507.0;6993.0;35.86;269;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW SELLADOR DE PLÁSTICO WXY1003;542289;52000.0;33348.0;18652.0;35.87;322;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW NIVEL DE BURBUJA 80CM WSL1G80;538565;13800.0;8826.0;4974.0;36.04;236;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL PORTA ESPUMA PARA HIDROLAVADORA TMFP402;531795;216300.0;138688.0;77612.0;35.88;202;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CAJA DE HERRAMIENTAS DE PLÁSTICO 3PCS TPBXK0032;486521;27000.0;17336.0;9664.0;35.79;32;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW ROTOMARTILLO 1500W UWRH2D32;506076;270300.0;173360.0;96940.0;35.86;285;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
Karseell MASCARA CAPILAR KARSEELL MACA POWER PURPLE HAIR MASK;;26000.0;;;;;Sin costo de compra documentado en este PDF;Comparación individual pendiente
TOTAL CHAQUETA TJCTC2282.XL;437509;17200.0;11032.0;6168.0;35.86;326;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE BROCAS PARA MAMPOSTERIA 8PCS WMJ6B08;471121;15700.0;10086.0;5614.0;35.76;16;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ALICATE PARA SOLDADURA THT1921001;340267;8800.0;5674.0;3126.0;35.52;135;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL COMBO 3PCS INALÁMBRICA TOSLI241291;529174;368600.0;236400.0;132200.0;35.87;326;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL PULIDORA AMORTIGUAR TAC7121801;346153;118000.0;75648.0;42352.0;35.89;48;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BOTAS DE LLUVIA TSP302S1P.44;415576;59000.0;37824.0;21176.0;35.89;245;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW ASPIRADORA 15LT 1200W SECO-HUMEDO WVR1A15;18029;137600.0;88256.0;49344.0;35.86;204;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MEDIDOR DE PINZA AMPERIMÉTRICA AC 600A TMT766001;526203;48800.0;31265.0;17535.0;35.93;171;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW GRIFO DE COCINA WZD1526;469791;42900.0;27514.0;15386.0;35.86;89;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT SIERRA COPA TACSH1071;455374;137600.0;88256.0;49344.0;35.86;261;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL COMBO 4PCS 20V TOSLI250993;288750;486600.0;312048.0;174552.0;35.87;327;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL COMBO 4PCS BOLSAS TOS230910;553308;486600.0;312048.0;174552.0;35.87;327;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
KARSEELL BNC ARGAN OIL LEAVE IN CONDITIONER 200ML;;26000.0;;;;;Sin costo de compra documentado en este PDF;Comparación individual pendiente
TOTAL ATORNILLADOR TALADRO 20V UTDLI200528;486057;93400.0;59888.0;33512.0;35.88;60;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL COMBO LLAVE DE IMPACTO +PUNTAS TOSLI250784;36436;244400.0;156736.0;87664.0;35.87;53;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL VIBRADOR DE CONCRETO 20V TCVLI202301;41621;17200.0;11032.0;6168.0;35.86;325;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ACCESORIOS PARA AMOLADORA 10PCS TAKB1001;487429;87500.0;56106.0;31394.0;35.88;45;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TALADRO 1/2 UTG108136 750W;312035;63900.0;40976.0;22924.0;35.87;283;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MINI RECTIFICADOR 130W 252PCS TG5133261;312158;118000.0;75648.0;42352.0;35.89;48;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT HERRAMIENTA THKTV02H091 9PCS;436786;17200.0;11032.0;6168.0;35.86;330;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SOPLADOR/ASPIRADOR 20V TABLI20323 S/B;501941;186800.0;119776.0;67024.0;35.88;203;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE LLAVES 27 PCS HEX/BALL/TORX WHK5203;3926;59000.0;37824.0;21176.0;35.89;157;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ATORNILLADOR 20V TIDLI20031;442862;137600.0;88256.0;49344.0;35.86;65;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SOPLADOR SIN ESCOBILLAS 20V TABLI20428;417273;186800.0;119776.0;67024.0;35.88;203;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL BOLSA DE HERRAMIENTAS 27"" THRRTB2712";584210;41800.0;26792.0;15008.0;35.9;32;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT JARDINERIA A GASOLINA 5 EN 1 TMT55211;512275;17200.0;11032.0;6168.0;35.86;331;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE HERRAMIENTAS 109PCS WHS2109;56304;260000.0;166725.0;93275.0;35.88;318;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT HERRAMIENTAS TKTTSK0512 51PCS;417327;171600.0;110049.0;61551.0;35.87;304;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BOTAS DE LLUVIA TSP302LAB.42;512466;59000.0;37824.0;21176.0;35.89;244;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL FRESA ROTATIVA DE CARBURO METAL TAKC1003;532358;13000.0;8337.0;4663.0;35.87;212;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE LLAVES DE TRINQUETE 6PCS WSP6406;489348;31900.0;20488.0;11412.0;35.77;155;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CONTROL BOMBA AUTOMATICA 750W UTWPS102;443142;35100.0;22512.0;12588.0;35.86;302;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BOLSA DE HERRAMIENTA 10KG THT16P10125;532211;18800.0;12088.0;6712.0;35.7;29;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SIERRA CIRCULAR 1400W TS11418526;201612;137600.0;88256.0;49344.0;35.86;260;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
MEDICUBE CREME FACIAL PDRN PINK HYALURONIC MOISTURIZING CREAM 50;;33800.0;;;;;Sin costo de compra documentado en este PDF;Comparación individual pendiente
TOTAL TALADRO ATORNILLADOR INÁLAMBRICO 20V TDLI20024;449984;93400.0;59888.0;33512.0;35.88;71;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MARTILLO MANGO FIBRA DE VIDRIO 29MM THCH61029;127547;10800.0;6934.0;3866.0;35.8;168;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL COMBO ACESORIOS PARA RECTIFICADOR TOS230331;512732;85800.0;55024.0;30776.0;35.87;40;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL ATORNILLADOR 1/4"" 20V MOTOR BRUSHLESS UTIRLI2002";397223;122900.0;78800.0;44100.0;35.88;62;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CAPA DE LLUVIA THTRS031.XXXL;341066;26000.0;16658.0;9342.0;35.93;247;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT LLAVE FENDA THT250618 18PCS;341578;8800.0;5674.0;3126.0;35.52;149;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL LIJADORA ORBITAL DE PALMA TF2231106 240W;350860;108100.0;69344.0;38756.0;35.85;219;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TIJERA PARA PODA/CORTA CERCO THT1516301;366618;27900.0;17891.0;10009.0;35.87;120;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW GATO HIDRÁULICO 2TONELADAS WHJ2522;505895;78000.0;50022.0;27978.0;35.87;223;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW CAJA FUERTE CON RECONOCIMIENTO DE HUELLAS DACTILARES 11;537766;41800.0;26792.0;15008.0;35.9;38;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE LLAVES RATCHET REVERSIBLES 7PCS WSP8207;613958;31900.0;20488.0;11412.0;35.77;157;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
